Sr. No,Symbol,Series,Security Name,From,To
1,HIRECT,EQ,HIND RECTIFIERS LIMITED,10,5
2,AARVEEDEN,BE,AARVEE DENIMS & EXPORTS LIMITED,2,5
3,ANIKINDS,BE,ANIK INDUSTRIES LIMITED,2,5
4,ANTGRAPHIC,BE,ANTARCTICA LIMITED,2,5
5,BROOKS,BE,BROOKS LABORATORIES LIMITED,2,5
6,DJML,BE,DJ MEDIAPRINT & LOGISTICS LIMITED,2,5
7,IL&FSENGG,BZ,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED,2,5
8,MANORG,BE,MANGALAM ORGANICS LIMITED,2,5
9,NOIDATOLL,BE,NOIDA TOLL BRIDGE COMPANY LIMITED,2,5
10,OSIAHYPER,BE,OSIA HYPER RETAIL LIMITED,2,5
11,RBZJEWEL,BE,RBZ JEWELLERS LIMITED,2,5
12,SHREERAMA,BE,SHREE RAMA MULTI-TECH LIMITED,2,5
13,STEL,BE,STEL HOLDINGS LIMITED,2,5
14,SUPREMEENG,BE,SUPREME ENGINEERING LIMITED,2,5
15,TECHIN,BZ,TECHINDIA NIRMAN LIMITED,2,5
16,TIRUPATIFL,BE,TIRUPATI FORGE LIMITED,2,5
17,USK,BE,UDAYSHIVAKUMAR INFRA LIMITED,2,5
18,NSIL,EQ,NALWA SONS INVESTMENTS LIMITED,20,10
19,AILIMITED,ST,ABHISHEK INTEGRATIONS LIMITED,5,2
20,AMJLAND,EQ,AMJ LAND HOLDINGS LIMITED,5,20
21,DELPHIFX,EQ,DELPHI WORLD MONEY LIMITED,5,20
22,HVAX,SM,HVAX TECHNOLOGIES LIMITED,5,20
23,LRRPL,ST,LEAD RECLAIM AND RUBBER PRODUCTS LIMITED,5,2
24,MASKINVEST,BE,MASK INVESTMENTS LIMITED,5,2
25,MGEL,EQ,MANGALAM GLOBAL ENTERPRISE LIMITED,5,20
26,OCCL,EQ,ORIENTAL CARBON & CHEMICALS LIMITED,5,10
27,SAJHOTELS,SM,SAJ HOTELS LIMITED,5,20
