Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17102024,1183075948,0002506
Trade Date <17-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ICCL28,NX,2,1,50.00
20,2,1003ISFL28,N4,25,25,100.00
20,3,1015ECL29,NR,150,150,100.00
20,4,1018GS2026,GS,5381,5381,100.00
20,5,1025SCL34,Z8,51,51,100.00
20,6,1025UCL25,N8,3,3,100.00
20,7,1035UCL24,N6,400,400,100.00
20,8,1049DLS25A,Y5,60,30,50.00
20,9,1049DLSL25,NX,60,60,100.00
20,10,1050NFL26,N7,205,205,100.00
20,11,1050UCL25,N7,207,197,95.17
20,12,105UCL2026,NB,161,161,100.00
20,13,1060ECL29,NS,100,100,100.00
20,14,1065NFL27,NC,114,114,100.00
20,15,10CAGL27,N5,125,125,100.00
20,16,10IIFL28,N4,60,60,100.00
20,17,10IIFL28A,NE,101,101,100.00
20,18,10ISFL26,N3,170,170,100.00
20,19,10NIDO26,N6,111,111,100.00
20,20,10SCL30A,BV,26,25,96.15
20,21,182D011124,TB,1000,1000,100.00
20,22,182D090125,TB,300,300,100.00
20,23,360ONE,EQ,539214,270888,50.24
20,24,364D020125,TB,900,900,100.00
20,25,364D020525,TB,20800,20800,100.00
20,26,364D030425,TB,500,500,100.00
20,27,364D031025,TB,10000,10000,100.00
20,28,364D080525,TB,500,500,100.00
20,29,364D090125,TB,300,300,100.00
20,30,364D091025,TB,300,300,100.00
20,31,364D100725,TB,100,100,100.00
20,32,364D110925,TB,100000,100000,100.00
20,33,364D121224,TB,100,100,100.00
20,34,364D150525,TB,100,100,100.00
20,35,364D190625,TB,7200,7200,100.00
20,36,364D260625,TB,300,300,100.00
20,37,3IINFOLTD,EQ,821409,506047,61.61
20,38,3MINDIA,EQ,3676,1660,45.16
20,39,574GS2026,GS,8,8,100.00
20,40,5PAISA,EQ,468490,161023,34.37
20,41,618GS2024,GS,5,5,100.00
20,42,63MOONS,EQ,568225,237732,41.84
20,43,645GS2029,GS,1542,771,50.00
20,44,654GS2032,GS,20000,20000,100.00
20,45,667GS2050,GS,2,1,50.00
20,46,679GS2034,GS,1,1,100.00
20,47,689GS2025,GS,14,7,50.00
20,48,697GR2034,GS,699,699,100.00
20,49,699GS2026,GS,5910,5910,100.00
20,50,699GS2051,GS,9443,9443,100.00
20,51,702GS2027,GS,101,100,99.01
20,52,702GS2031,GS,1001,1001,100.00
20,53,704GS2029,GS,10101,10100,99.99
20,54,706GS2028,GS,22672,22672,100.00
20,55,709GS2054,GS,500,500,100.00
20,56,710GS2029,GS,100473,100473,100.00
20,57,716GS2050,GS,100,100,100.00
20,58,717GS2030,GS,4935,4435,89.87
20,59,718GS2033,GS,500,500,100.00
20,60,718GS2037,GS,1501700,1501700,100.00
20,61,71GS2034,GS,200,200,100.00
20,62,723GS2039,GS,10142,10142,100.00
20,63,725GS2063,GS,36111,35211,97.51
20,64,726GS2032,GS,438603,437203,99.68
20,65,726GS2033,GS,2600,2600,100.00
20,66,729IRFC26,NN,216,196,90.74
20,67,729NHAI26,NC,100,99,99.00
20,68,732GS2030,GS,200,200,100.00
20,69,732IRFC25,NI,154,154,100.00
20,70,733GS2026,GS,10240,10240,100.00
20,71,734GS2064,GS,3201,3201,100.00
20,72,734IRFC28,N4,509,501,98.43
20,73,737GS2028,GS,7300,7200,98.63
20,74,738GS2027,GS,118003,118003,100.00
20,75,739NHAI26,N8,90,90,100.00
20,76,739NHAI31A,ND,166,141,84.94
20,77,73GS2053,GS,19850,15850,79.85
20,78,741GS2036,GS,254806,254799,100.00
20,79,746GS2073,GS,4957,4957,100.00
20,80,74GS2062,GS,997,969,97.19
20,81,750IRFC35,NK,500,500,100.00
20,82,751HUDCO28,N5,460,460,100.00
20,83,753IRFC30,NJ,50,50,100.00
20,84,754GS2036,GS,233851,228736,97.81
20,85,762NTPC35F,ND,10,10,100.00
20,86,764HUDCO31,N8,38,38,100.00
20,87,764IRFC31,NO,3032,2532,83.51
20,88,764NABAR31,N2,700,600,85.71
20,89,769NHAI31,NE,1020,939,92.06
20,90,76NHAI31,NA,2543,2208,86.83
20,91,772GS2049,GS,111,111,100.00
20,92,777MN38,SG,300,300,100.00
20,93,78ABFL33,N4,5,5,100.00
20,94,797IGT31,NL,225,225,100.00
20,95,79NHIT35,N1,2287,2186,95.58
20,96,79NHIT40,N2,141,141,100.00
20,97,79NHIT47,N3,1714,1714,100.00
20,98,801TCH25,N4,66,63,95.45
20,99,810IRFC27,N2,3873,3871,99.95
20,100,81TCHF28,N8,10,10,100.00
20,101,824GS2027,GS,3541,3541,100.00
20,102,829LTF24,NL,1,1,100.00
20,103,82HUDCO27,N2,2294,2038,88.84
20,104,82IGT31,NJ,1015,1015,100.00
20,105,830NHAI27,N2,4113,3897,94.75
20,106,830PFCL27,N5,450,450,100.00
20,107,83TCHF25,N6,142,98,69.01
20,108,840CIFCL28,N4,6,3,50.00
20,109,842IIFL26,NL,270,270,100.00
20,110,843IHFL29,NC,98,82,83.67
20,111,849NTPC25,N7,190949,31849,16.68
20,112,851HUDCO28,NB,2,2,100.00
20,113,85IIFL25,NO,4,4,100.00
20,114,865IFL28,NZ,240,240,100.00
20,115,865IIFL28,NS,530,526,99.25
20,116,865IRFC29,NA,190,190,100.00
20,117,865LTF26,NN,35,35,100.00
20,118,865TCAPS27,N8,3612,2749,76.11
20,119,86LTF24,NJ,451,451,100.00
20,120,871REC28,N9,240,240,100.00
20,121,875IHFL29,ND,99,99,100.00
20,122,875IIFL26,NM,35,35,100.00
20,123,875IIFL26A,NQ,63,63,100.00
20,124,875NHAI29,N6,802,801,99.88
20,125,875PCHFL26,N8,50,50,100.00
20,126,879NHPC28,N5,50,50,100.00
20,127,87LTF27,NH,158,158,100.00
20,128,87SCL27,Z6,10,10,100.00
20,129,87SCL27A,ZK,12,12,100.00
20,130,880IREDA29,N5,1126,1126,100.00
20,131,885MOFSL26,N0,200,100,50.00
20,132,888ERFL28,N5,1,1,100.00
20,133,888IRFC29,NE,1455,1014,69.69
20,134,888NHB29,N5,50,50,100.00
20,135,888REC29,NF,94,94,100.00
20,136,891IIFCL34,N4,150,150,100.00
20,137,891NTPC33,N6,1,1,100.00
20,138,892PFCL33,N8,514,513,99.81
20,139,898LTF29,N7,150,75,50.00
20,140,8ABFL26,N0,100,100,100.00
20,141,901HUDCO34,NE,42,42,100.00
20,142,901NHB34,N6,210,210,100.00
20,143,903SFL28,YI,5,5,100.00
20,144,905LTF27,NF,40,40,100.00
20,145,910TCAP28,NA,52,50,96.15
20,146,915SCL26,NE,180,90,50.00
20,147,91MOFSL27,N2,25,25,100.00
20,148,925SCL25,N5,21,21,100.00
20,149,92GS2030,GS,12502,12502,100.00
20,150,930SFL28,YP,200,200,100.00
20,151,93MOFSL34,N6,501,500,99.80
20,152,943ECL28,NJ,38,38,100.00
20,153,94SFL28,YL,500,500,100.00
20,154,950SCL23A,AP,10,10,100.00
20,155,957NIDO26,N5,20,20,100.00
20,156,960IIFLS26,N9,100,100,100.00
20,157,965AEL27,N4,200,200,100.00
20,158,965SCL25B,Y1,20,20,100.00
20,159,965SCL26F,N1,10,10,100.00
20,160,966ICCL25A,NI,21,12,57.14
20,161,96IIFL28,N5,2135,1876,87.87
20,162,96IIFL28A,NF,1349,1306,96.81
20,163,96SFL24A,NB,35,35,100.00
20,164,970CAGL28,ND,104,66,63.46
20,165,975NFL25,N0,1,1,100.00
20,166,985IIFL22,NC,235,235,100.00
20,167,98ICCL26,NU,23,23,100.00
20,168,98SCL27,ZX,20,10,50.00
20,169,990SCL26,N7,431,353,81.90
20,170,990SCL26B,Y7,105,105,100.00
20,171,99AEL29,N7,227,227,100.00
20,172,99IFCI24,NH,97,92,94.85
20,173,9ICCL23A,N0,5,5,100.00
20,174,9IIFL28A,NT,460,460,100.00
20,175,9MMFSML,N2,75,75,100.00
20,176,9SFL25A,ZH,100,100,100.00
20,177,A2ZINFRA,EQ,232004,156391,67.41
20,178,AAATECH,EQ,23395,12894,55.11
20,179,AADHARHFC,EQ,548081,326198,59.52
20,180,AAKASH,EQ,119316,68676,57.56
20,181,AARON,EQ,9732,2921,30.01
20,182,AARTECH,EQ,601319,109906,18.28
20,183,AARTIDRUGS,EQ,76377,40957,53.62
20,184,AARTIIND,EQ,1001847,374570,37.39
20,185,AARTIPHARM,EQ,52478,25531,48.65
20,186,AARVI,EQ,807954,117832,14.58
20,187,AATMAJ,SM,6000,6000,100.00
20,188,AAVAS,EQ,107143,60503,56.47
20,189,ABAN,EQ,55032,36163,65.71
20,190,ABB,EQ,407941,85912,21.06
20,191,ABBOTINDIA,EQ,12015,5550,46.19
20,192,ABCAPITAL,EQ,3368608,1566385,46.50
20,193,ABCOTS,ST,500,500,100.00
20,194,ABDL,EQ,320049,174331,54.47
20,195,ABFRL,EQ,2633321,1120811,42.56
20,196,ABGSEC,EQ,97,87,89.69
20,197,ABMINTLLTD,EQ,5165,3896,75.43
20,198,ABREL,EQ,137439,58664,42.68
20,199,ABSLAMC,EQ,1449006,387105,26.72
20,200,ABSLBANETF,EQ,36349,29588,81.40
20,201,ABSLLIQUID,EQ,3919,2956,75.43
20,202,ABSLNN50ET,EQ,32430,26928,83.03
20,203,ABSLPSE,EQ,210936,168734,79.99
20,204,ABSMARINE,SM,46000,32000,69.57
20,205,ACC,EQ,233994,121007,51.71
20,206,ACCELYA,EQ,37921,18990,50.08
20,207,ACCENTMIC,SM,127500,87000,68.24
20,208,ACE,EQ,246081,95850,38.95
20,209,ACEINTEG,EQ,37160,10706,28.81
20,210,ACI,EQ,130656,66276,50.73
20,211,ACL,EQ,18815,9622,51.14
20,212,ACLGATI,EQ,578334,265583,45.92
20,213,ACSAL,ST,60000,60000,100.00
